  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2205                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.4777   0.00000  -0.00150  -0.0349   0.0000   0.0000
   0.000   0.2086   0.00000  -0.00074  -0.0372   0.0000   0.0000
   6.000   0.8919   0.00000  -0.00106  -0.0407   0.0000   0.0000
  12.000   1.5653   0.00000  -0.00260  -0.0452   0.0000   0.0000
  18.000   2.2217   0.00000  -0.00536  -0.0506   0.0000   0.0000
  24.000   2.8542   0.00000  -0.00918  -0.0566   0.0000   0.0000
  30.000   3.4563   0.00000  -0.01383  -0.0629   0.0000   0.0000
  36.000   4.0217   0.00000  -0.01892  -0.0693   0.0000   0.0000
  42.000   4.5442   0.00000  -0.02405  -0.0755   0.0000   0.0000
  48.000   5.0182   0.00000  -0.02876  -0.0812   0.0000   0.0000
  54.000   5.4383   0.00000  -0.03263  -0.0862   0.0000   0.0000
  60.000   5.7998   0.00000  -0.03528  -0.0903   0.0000   0.0000
  66.000   6.0983   0.00000  -0.03645  -0.0932   0.0000   0.0000
  72.000   6.3303   0.00000  -0.03600  -0.0949   0.0000   0.0000
  78.000   6.4927   0.00000  -0.03390  -0.0952   0.0000   0.0000
  84.000   6.5835   0.00000  -0.03031  -0.0943   0.0000   0.0000
  90.000   6.6013   0.00000  -0.02546  -0.0920   0.0000   0.0000
