   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0840   0.00819   0.00253  -0.1030   0.7607   0.0709
  -4.500  -0.0280   0.00800   0.00230  -0.1028   0.7393   0.0803
  -4.000   0.0278   0.00783   0.00209  -0.1027   0.7170   0.0928
  -3.500   0.0835   0.00769   0.00193  -0.1025   0.6942   0.1082
  -3.000   0.1396   0.00758   0.00180  -0.1025   0.6712   0.1254
  -2.500   0.1954   0.00748   0.00170  -0.1024   0.6474   0.1479
  -1.500   0.3069   0.00737   0.00159  -0.1021   0.6010   0.2033
  -1.000   0.3626   0.00733   0.00158  -0.1021   0.5788   0.2383
  -0.500   0.4183   0.00731   0.00159  -0.1020   0.5578   0.2785
   0.000   0.4737   0.00728   0.00163  -0.1019   0.5388   0.3293
   0.500   0.5289   0.00718   0.00168  -0.1018   0.5216   0.4040
   1.000   0.5830   0.00690   0.00178  -0.1016   0.5064   0.5633
   1.500   0.6369   0.00672   0.00192  -0.1012   0.4927   0.6952
   2.000   0.6887   0.00657   0.00209  -0.1002   0.4794   0.8269
   2.500   0.7371   0.00650   0.00228  -0.0981   0.4683   0.9463
   3.000   0.8067   0.00669   0.00245  -0.1010   0.4568   0.9907
   3.500   0.8778   0.00695   0.00262  -0.1045   0.4442   1.0000
   4.000   0.9274   0.00713   0.00275  -0.1031   0.4337   1.0000
   4.500   0.9783   0.00734   0.00292  -0.1021   0.4226   1.0000
   5.000   1.0294   0.00760   0.00312  -0.1012   0.4094   1.0000
   5.500   1.0809   0.00787   0.00334  -0.1004   0.3943   1.0000
   6.000   1.1320   0.00819   0.00359  -0.0996   0.3768   1.0000
   6.500   1.1824   0.00854   0.00387  -0.0987   0.3574   1.0000
   7.000   1.2313   0.00896   0.00422  -0.0975   0.3353   1.0000
   7.500   1.2777   0.00951   0.00464  -0.0960   0.3104   1.0000
   8.000   1.3227   0.01009   0.00511  -0.0942   0.2840   1.0000
   8.500   1.3639   0.01078   0.00568  -0.0918   0.2555   1.0000
   9.000   1.3993   0.01161   0.00636  -0.0883   0.2252   1.0000
   9.500   1.4323   0.01259   0.00719  -0.0847   0.1942   1.0000
  10.000   1.4627   0.01374   0.00817  -0.0808   0.1642   1.0000
  10.500   1.4908   0.01503   0.00933  -0.0768   0.1372   1.0000
  11.000   1.5169   0.01647   0.01066  -0.0728   0.1142   1.0000
  11.500   1.5411   0.01810   0.01220  -0.0688   0.0956   1.0000
  12.000   1.5646   0.01985   0.01389  -0.0651   0.0808   1.0000
  12.500   1.5856   0.02187   0.01589  -0.0615   0.0693   1.0000
  13.000   1.6061   0.02406   0.01808  -0.0583   0.0604   1.0000
  13.500   1.6242   0.02655   0.02059  -0.0552   0.0533   1.0000
  14.000   1.6398   0.02940   0.02347  -0.0523   0.0476   1.0000
  14.500   1.6542   0.03251   0.02664  -0.0498   0.0433   1.0000
  15.000   1.6667   0.03602   0.03023  -0.0477   0.0396   1.0000
  15.500   1.6743   0.04017   0.03446  -0.0457   0.0364   1.0000
  16.000   1.6821   0.04454   0.03893  -0.0443   0.0340   1.0000
  16.500   1.6839   0.04972   0.04420  -0.0431   0.0318   1.0000
  17.000   1.6860   0.05507   0.04968  -0.0424   0.0300   1.0000
  17.500   1.6789   0.06162   0.05634  -0.0419   0.0281   1.0000
  18.000   1.6786   0.06755   0.06241  -0.0418   0.0270   1.0000
  18.500   1.6705   0.07458   0.06957  -0.0421   0.0257   1.0000
  19.000   1.6552   0.08265   0.07778  -0.0428   0.0245   1.0000
  19.500   1.6481   0.08981   0.08510  -0.0437   0.0237   1.0000
  20.000   1.6372   0.09752   0.09295  -0.0450   0.0228   1.0000
  20.500   1.6217   0.10606   0.10163  -0.0469   0.0219   1.0000
  21.000   1.6030   0.11517   0.11088  -0.0494   0.0209   1.0000
  21.500   1.5931   0.12314   0.11901  -0.0519   0.0204   1.0000
  22.000   1.5818   0.13147   0.12749  -0.0550   0.0197   1.0000
  22.500   1.5689   0.14010   0.13625  -0.0586   0.0191   1.0000
  23.000   1.5533   0.14937   0.14564  -0.0631   0.0184   1.0000
  23.500   1.5371   0.15900   0.15543  -0.0682   0.0178   1.0000
  24.000   1.5307   0.16703   0.16361  -0.0729   0.0173   1.0000
  24.500   1.5230   0.17531   0.17202  -0.0781   0.0168   1.0000
  25.000   1.5139   0.18399   0.18082  -0.0839   0.0163   1.0000
