   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0949   0.00597   0.00139  -0.1014   0.5336   0.0406
  -4.500  -0.0367   0.00589   0.00129  -0.1017   0.5151   0.0454
  -4.000   0.0216   0.00582   0.00120  -0.1020   0.4978   0.0510
  -3.500   0.0800   0.00576   0.00113  -0.1024   0.4815   0.0574
  -3.000   0.1385   0.00569   0.00107  -0.1027   0.4692   0.0661
  -2.500   0.1972   0.00561   0.00101  -0.1032   0.4579   0.0766
  -2.000   0.2557   0.00557   0.00097  -0.1036   0.4449   0.0880
  -1.500   0.3144   0.00552   0.00094  -0.1040   0.4362   0.1006
  -1.000   0.3732   0.00548   0.00093  -0.1045   0.4268   0.1141
  -0.500   0.4317   0.00544   0.00092  -0.1049   0.4185   0.1349
   0.000   0.4904   0.00541   0.00093  -0.1053   0.4097   0.1543
   0.500   0.5486   0.00542   0.00096  -0.1058   0.3996   0.1766
   1.000   0.6070   0.00540   0.00098  -0.1062   0.3895   0.2026
   1.500   0.6647   0.00545   0.00104  -0.1065   0.3753   0.2300
   2.000   0.7220   0.00551   0.00112  -0.1068   0.3594   0.2594
   2.500   0.7789   0.00559   0.00121  -0.1070   0.3428   0.2957
   3.000   0.8355   0.00569   0.00133  -0.1072   0.3250   0.3348
   3.500   0.8909   0.00583   0.00148  -0.1072   0.3032   0.3893
   4.000   0.9456   0.00593   0.00166  -0.1071   0.2783   0.4804
   4.500   0.9995   0.00613   0.00189  -0.1069   0.2528   0.5575
   5.000   1.0533   0.00633   0.00211  -0.1066   0.2279   0.6251
   5.500   1.1059   0.00660   0.00239  -0.1062   0.2005   0.6965
   6.000   1.1574   0.00690   0.00271  -0.1056   0.1726   0.7801
   6.500   1.2077   0.00720   0.00308  -0.1047   0.1466   0.8773
   7.000   1.2529   0.00747   0.00345  -0.1026   0.1254   0.9800
   7.500   1.3068   0.00794   0.00381  -0.1026   0.1046   1.0000
   8.000   1.3555   0.00846   0.00421  -0.1015   0.0859   1.0000
   8.500   1.4033   0.00898   0.00463  -0.1002   0.0716   1.0000
   9.000   1.4508   0.00948   0.00505  -0.0990   0.0599   1.0000
   9.500   1.4970   0.00999   0.00549  -0.0975   0.0515   1.0000
  10.000   1.5403   0.01055   0.00599  -0.0955   0.0435   1.0000
  10.500   1.5792   0.01109   0.00648  -0.0926   0.0383   1.0000
  11.000   1.6171   0.01169   0.00705  -0.0896   0.0336   1.0000
  11.500   1.6554   0.01232   0.00765  -0.0870   0.0303   1.0000
  12.000   1.6923   0.01303   0.00834  -0.0842   0.0273   1.0000
  12.500   1.7269   0.01386   0.00915  -0.0812   0.0242   1.0000
  13.000   1.7607   0.01476   0.01005  -0.0783   0.0224   1.0000
  13.500   1.7937   0.01575   0.01104  -0.0754   0.0206   1.0000
  14.000   1.8231   0.01697   0.01225  -0.0723   0.0186   1.0000
  14.500   1.8533   0.01822   0.01352  -0.0695   0.0175   1.0000
  15.000   1.8797   0.01975   0.01505  -0.0665   0.0163   1.0000
  15.500   1.9046   0.02146   0.01678  -0.0636   0.0151   1.0000
  16.000   1.9277   0.02337   0.01872  -0.0608   0.0145   1.0000
  16.500   1.9466   0.02570   0.02107  -0.0580   0.0135   1.0000
  17.000   1.9657   0.02816   0.02357  -0.0555   0.0126   1.0000
  17.500   1.9817   0.03102   0.02648  -0.0532   0.0123   1.0000
  18.000   1.9950   0.03428   0.02977  -0.0511   0.0116   1.0000
  18.500   2.0025   0.03820   0.03375  -0.0490   0.0108   1.0000
  19.000   2.0125   0.04206   0.03767  -0.0475   0.0105   1.0000
  19.500   2.0171   0.04660   0.04229  -0.0462   0.0103   1.0000
  20.000   2.0188   0.05153   0.04729  -0.0450   0.0099   1.0000
  20.500   2.0138   0.05736   0.05320  -0.0442   0.0095   1.0000
  21.000   2.0041   0.06382   0.05975  -0.0437   0.0089   1.0000
  21.500   1.9976   0.07003   0.06605  -0.0436   0.0085   1.0000
  22.000   1.9851   0.07709   0.07320  -0.0438   0.0085   1.0000
  22.500   1.9751   0.08389   0.08010  -0.0443   0.0084   1.0000
  23.000   1.9569   0.09187   0.08820  -0.0454   0.0082   1.0000
  23.500   1.9403   0.09965   0.09608  -0.0467   0.0080   1.0000
  24.000   1.9234   0.10761   0.10413  -0.0484   0.0077   1.0000
  24.500   1.8986   0.11673   0.11337  -0.0510   0.0075   1.0000
  25.000   1.8804   0.12511   0.12184  -0.0538   0.0072   1.0000
