   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -8.000  -0.4687   0.00000  -0.00142  -0.0970   0.0000   0.0000
  -7.500  -0.4068   0.00000  -0.00141  -0.0979   0.0000   0.0000
  -7.000  -0.3450   0.00000  -0.00141  -0.0987   0.0000   0.0000
  -6.500  -0.2830   0.00000  -0.00141  -0.0996   0.0000   0.0000
  -6.000  -0.2211   0.00000  -0.00140  -0.1006   0.0000   0.0000
  -5.500  -0.1592   0.00000  -0.00140  -0.1015   0.0000   0.0000
  -5.000  -0.0972   0.00000  -0.00139  -0.1024   0.0000   0.0000
  -4.500  -0.0352   0.00000  -0.00139  -0.1034   0.0000   0.0000
  -4.000   0.0268   0.00000  -0.00139  -0.1044   0.0000   0.0000
  -3.500   0.0887   0.00000  -0.00139  -0.1053   0.0000   0.0000
  -3.000   0.1507   0.00000  -0.00139  -0.1063   0.0000   0.0000
  -2.500   0.2126   0.00000  -0.00139  -0.1073   0.0000   0.0000
  -2.000   0.2746   0.00000  -0.00139  -0.1083   0.0000   0.0000
  -1.500   0.3365   0.00000  -0.00139  -0.1093   0.0000   0.0000
  -1.000   0.3984   0.00000  -0.00139  -0.1104   0.0000   0.0000
  -0.500   0.4603   0.00000  -0.00139  -0.1114   0.0000   0.0000
   0.000   0.5221   0.00000  -0.00139  -0.1124   0.0000   0.0000
   0.500   0.5839   0.00000  -0.00139  -0.1135   0.0000   0.0000
   1.000   0.6456   0.00000  -0.00140  -0.1145   0.0000   0.0000
   1.500   0.7073   0.00000  -0.00140  -0.1156   0.0000   0.0000
   2.000   0.7689   0.00000  -0.00140  -0.1167   0.0000   0.0000
   2.500   0.8305   0.00000  -0.00141  -0.1178   0.0000   0.0000
   3.000   0.8920   0.00000  -0.00141  -0.1189   0.0000   0.0000
   3.500   0.9535   0.00000  -0.00142  -0.1200   0.0000   0.0000
   4.000   1.0149   0.00000  -0.00143  -0.1211   0.0000   0.0000
   4.500   1.0762   0.00000  -0.00143  -0.1222   0.0000   0.0000
   5.000   1.1374   0.00000  -0.00144  -0.1233   0.0000   0.0000
   5.500   1.1985   0.00000  -0.00145  -0.1244   0.0000   0.0000
   6.000   1.2595   0.00000  -0.00145  -0.1255   0.0000   0.0000
   6.500   1.3205   0.00000  -0.00146  -0.1267   0.0000   0.0000
   7.000   1.3813   0.00000  -0.00147  -0.1278   0.0000   0.0000
   7.500   1.4421   0.00000  -0.00148  -0.1289   0.0000   0.0000
   8.000   1.5027   0.00000  -0.00149  -0.1301   0.0000   0.0000
   8.500   1.5632   0.00000  -0.00150  -0.1312   0.0000   0.0000
   9.000   1.6236   0.00000  -0.00151  -0.1324   0.0000   0.0000
   9.500   1.6839   0.00000  -0.00152  -0.1335   0.0000   0.0000
  10.000   1.7440   0.00000  -0.00153  -0.1347   0.0000   0.0000
  10.500   1.8040   0.00000  -0.00154  -0.1358   0.0000   0.0000
  11.000   1.8639   0.00000  -0.00155  -0.1370   0.0000   0.0000
  11.500   1.9236   0.00000  -0.00157  -0.1382   0.0000   0.0000
  12.000   1.9832   0.00000  -0.00158  -0.1393   0.0000   0.0000
  12.500   2.0427   0.00000  -0.00159  -0.1405   0.0000   0.0000
  13.000   2.1020   0.00000  -0.00161  -0.1416   0.0000   0.0000
  13.500   2.1611   0.00000  -0.00162  -0.1428   0.0000   0.0000
  14.000   2.2200   0.00000  -0.00163  -0.1439   0.0000   0.0000
  14.500   2.2788   0.00000  -0.00165  -0.1451   0.0000   0.0000
  15.000   2.3374   0.00000  -0.00166  -0.1463   0.0000   0.0000
  15.500   2.3959   0.00000  -0.00168  -0.1474   0.0000   0.0000
  16.000   2.4541   0.00000  -0.00169  -0.1486   0.0000   0.0000
  16.500   2.5122   0.00000  -0.00171  -0.1497   0.0000   0.0000
  17.000   2.5701   0.00000  -0.00173  -0.1509   0.0000   0.0000
  17.500   2.6278   0.00000  -0.00174  -0.1520   0.0000   0.0000
  18.000   2.6852   0.00000  -0.00176  -0.1531   0.0000   0.0000
  18.500   2.7425   0.00000  -0.00178  -0.1543   0.0000   0.0000
  19.000   2.7996   0.00000  -0.00179  -0.1554   0.0000   0.0000
  19.500   2.8565   0.00000  -0.00181  -0.1565   0.0000   0.0000
  20.000   2.9131   0.00000  -0.00183  -0.1577   0.0000   0.0000
  20.500   2.9695   0.00000  -0.00184  -0.1588   0.0000   0.0000
  21.000   3.0257   0.00000  -0.00186  -0.1599   0.0000   0.0000
  21.500   3.0817   0.00000  -0.00188  -0.1610   0.0000   0.0000
  22.000   3.1374   0.00000  -0.00190  -0.1621   0.0000   0.0000
  22.500   3.1929   0.00000  -0.00192  -0.1632   0.0000   0.0000
  23.000   3.2482   0.00000  -0.00193  -0.1643   0.0000   0.0000
  23.500   3.3032   0.00000  -0.00195  -0.1654   0.0000   0.0000
  24.000   3.3579   0.00000  -0.00197  -0.1664   0.0000   0.0000
  24.500   3.4124   0.00000  -0.00199  -0.1675   0.0000   0.0000
  25.000   3.4666   0.00000  -0.00201  -0.1686   0.0000   0.0000
