   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -5.000  -0.0904   0.00677   0.00174  -0.1019   0.6567   0.0543
  -4.500  -0.0331   0.00665   0.00159  -0.1020   0.6340   0.0615
  -4.000   0.0241   0.00657   0.00147  -0.1021   0.6106   0.0700
  -3.000   0.1388   0.00644   0.00128  -0.1025   0.5664   0.0907
  -2.000   0.2534   0.00633   0.00117  -0.1029   0.5266   0.1241
  -1.500   0.3109   0.00630   0.00114  -0.1031   0.5092   0.1436
  -1.000   0.3683   0.00626   0.00113  -0.1033   0.4933   0.1681
  -0.500   0.4257   0.00624   0.00114  -0.1035   0.4786   0.1942
   0.000   0.4830   0.00623   0.00116  -0.1037   0.4651   0.2232
   0.500   0.5407   0.00619   0.00119  -0.1041   0.4553   0.2590
   1.000   0.5980   0.00619   0.00124  -0.1043   0.4439   0.2982
   1.500   0.6552   0.00615   0.00131  -0.1046   0.4344   0.3510
   2.000   0.7120   0.00603   0.00139  -0.1048   0.4251   0.4440
   2.500   0.7679   0.00590   0.00150  -0.1049   0.4139   0.5676
   3.000   0.8244   0.00581   0.00162  -0.1051   0.4049   0.6654
   3.500   0.8796   0.00577   0.00178  -0.1051   0.3914   0.7692
   4.000   0.9330   0.00574   0.00196  -0.1045   0.3758   0.8798
   4.500   0.9813   0.00581   0.00217  -0.1027   0.3587   0.9718
   5.000   1.0452   0.00611   0.00237  -0.1046   0.3374   0.9968
   5.500   1.1005   0.00649   0.00262  -0.1048   0.3117   1.0000
   6.000   1.1512   0.00686   0.00288  -0.1039   0.2886   1.0000
   6.500   1.2007   0.00733   0.00320  -0.1028   0.2614   1.0000
   7.000   1.2488   0.00787   0.00358  -0.1015   0.2319   1.0000
   7.500   1.2956   0.00847   0.00402  -0.1001   0.2021   1.0000
   8.000   1.3407   0.00913   0.00452  -0.0983   0.1723   1.0000
   8.500   1.3839   0.00985   0.00507  -0.0963   0.1445   1.0000
   9.000   1.4242   0.01061   0.00569  -0.0937   0.1190   1.0000
   9.500   1.4592   0.01140   0.00635  -0.0902   0.0984   1.0000
  10.000   1.4952   0.01217   0.00704  -0.0869   0.0834   1.0000
  10.500   1.5287   0.01309   0.00787  -0.0835   0.0690   1.0000
  11.000   1.5634   0.01398   0.00872  -0.0804   0.0597   1.0000
  11.500   1.5963   0.01498   0.00968  -0.0772   0.0516   1.0000
  12.000   1.6281   0.01608   0.01076  -0.0741   0.0454   1.0000
  12.500   1.6583   0.01732   0.01199  -0.0710   0.0401   1.0000
  13.000   1.6868   0.01872   0.01338  -0.0679   0.0358   1.0000
  13.500   1.7132   0.02031   0.01498  -0.0648   0.0321   1.0000
  14.000   1.7387   0.02206   0.01675  -0.0619   0.0296   1.0000
  14.500   1.7615   0.02407   0.01879  -0.0591   0.0271   1.0000
  15.000   1.7808   0.02645   0.02121  -0.0563   0.0248   1.0000
  15.500   1.8007   0.02894   0.02375  -0.0538   0.0234   1.0000
  16.000   1.8149   0.03204   0.02689  -0.0514   0.0216   1.0000
  16.500   1.8294   0.03531   0.03023  -0.0494   0.0204   1.0000
  17.000   1.8400   0.03907   0.03406  -0.0476   0.0193   1.0000
  17.500   1.8450   0.04359   0.03866  -0.0460   0.0179   1.0000
  18.000   1.8528   0.04797   0.04313  -0.0448   0.0174   1.0000
  18.500   1.8543   0.05316   0.04841  -0.0439   0.0167   1.0000
  19.000   1.8499   0.05919   0.05453  -0.0433   0.0158   1.0000
  19.500   1.8454   0.06531   0.06076  -0.0429   0.0151   1.0000
  20.000   1.8402   0.07170   0.06726  -0.0430   0.0147   1.0000
  20.500   1.8303   0.07869   0.07437  -0.0433   0.0142   1.0000
  21.000   1.8171   0.08625   0.08205  -0.0441   0.0137   1.0000
  21.500   1.8000   0.09441   0.09032  -0.0453   0.0130   1.0000
  22.000   1.7854   0.10237   0.09841  -0.0468   0.0127   1.0000
  22.500   1.7741   0.10997   0.10614  -0.0486   0.0124   1.0000
  23.000   1.7614   0.11777   0.11406  -0.0508   0.0121   1.0000
  23.500   1.7461   0.12613   0.12254  -0.0536   0.0118   1.0000
  24.000   1.7288   0.13494   0.13147  -0.0572   0.0114   1.0000
  25.000   1.6977   0.15228   0.14904  -0.0655   0.0105   1.0000
